exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,post_cost_gap,mig_lambda,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,601,20000,4000,12.125487804412842,0.0006910863892909312,0.015578390546891648,0.04980817283605821,1.003811181711726,36.0,0.36,0.0,0.03379066319484873,0.05,,0.0006910863892909312,0.013107798800482165,0,vm_add,0.007928487811014523,0.03222133722829359,35,vm_add,0.0059753942761632045,0.032973940160464815,37,vm_add,0.008300325380319657,0.0658645047384088,50,vm_add,0.01205573402168067,0.07254186689376078,52,vm_add,0.006865287678617035,0.03683460335620207,33,vm_add,0.018366052261823865,0.03708456814161088,30,vm_add,0.05265891418975215,0.05857256722986226,11,vm_add,0.01247692875576208,0.06237199493986249,40,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|601"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,602,20000,4000,12.408701181411743,0.0004921075407164687,0.02381089087145073,0.061934871486206876,1.0109119576814225,45.625,0.45625000000000004,0.0,0.046928857669860415,0.05,,0.0004921075407164687,0.0239080648063383,0,vm_add,0.005906690980023997,0.035115960759996984,39,vm_add,0.008556333221875129,0.050196551577437465,55,vm_add,0.008972362991135248,0.050221631990782736,55,vm_add,0.009861086771481445,0.054469462339725994,47,vm_add,0.012590442210101672,0.06330456192029846,56,vm_add,0.10784559839337501,0.11093168021231235,5,vm_add,0.018635621617085683,0.07561683847682034,55,vm_add,0.018118990786527647,0.05562228461228065,53,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|602"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,603,20000,4000,12.455894470214844,0.0008334994675289358,0.014043925976276343,0.04688985745082966,1.002538303232098,44.25,0.4425,0.0,0.03644887500385878,0.05,,0.0008334994675289358,0.009161062079556146,0,vm_add,0.005736531140198272,0.042015729143761726,47,vm_add,0.008071635958037126,0.03907868317565225,45,vm_add,0.010279154756885935,0.03768132593849656,42,vm_add,0.01158281551367509,0.05048657058735577,48,vm_add,0.0067177228752432,0.049810873945214676,57,vm_add,0.018487967447212424,0.0448466640865131,44,vm_add,0.038439301645390035,0.05998910725196288,29,vm_add,0.013036278473568655,0.05120990547768034,42,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|603"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,604,20000,4000,12.144487857818604,0.0008614391877108207,0.012820714690024604,0.05342147624811961,1.0031724453501585,45.875,0.45875000000000005,0.0,0.03604685918664857,0.05,,0.0008614391877108207,0.02310671613892095,0,vm_add,0.009307254605947826,0.05095769469795808,39,vm_add,0.003099654858875334,0.04586236040667423,50,vm_add,0.016172664092039823,0.0669215275113511,53,vm_add,0.009748534010781405,0.0526070779357229,51,vm_add,0.015209825286500436,0.06308812581723446,54,vm_add,0.013650238085759044,0.04427197671556045,40,vm_add,0.01313600952342901,0.05455681236025139,44,vm_add,0.022241537056863953,0.04910623454020426,36,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|604"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,605,20000,4000,12.283897161483765,0.0008015564668455525,0.025489995999414886,0.05831325039732199,1.0133186752930197,38.0,0.38,0.0,0.04478439130987384,0.05,,0.0008015564668455525,0.014997820392013443,0,vm_add,0.0033667872335267587,0.03514235351673858,39,vm_add,0.005558758368048333,0.03877412032158733,50,vm_add,0.005308977804194686,0.042034783003466046,49,vm_add,0.09594491779105475,0.09620777428031346,0,vm_add,0.05312509585464386,0.09814284892690875,50,vm_add,0.007681743962281256,0.058699198756017236,62,vm_add,0.018868089432311864,0.060410797993711,31,vm_add,0.014065597549257586,0.03709412637983349,23,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|605"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,606,20000,4000,12.080110549926758,0.0011341750938532132,0.016223807383142344,0.04863473938655864,1.0056191490656607,36.0,0.36,0.0,0.03451633818668566,0.05,,0.0011341750938532132,0.006629112996451638,0,vm_add,0.012041565058208711,0.060663821877638816,38,vm_add,0.008050252288749981,0.03719415071924136,40,vm_add,0.013516049228457538,0.03948802436800982,26,vm_add,0.022908618968616474,0.04743142211776881,32,vm_add,0.013998685442946465,0.03654995087990069,38,vm_add,0.011227746655908198,0.02708656564471397,26,vm_add,0.03270613331604252,0.08043314019658564,37,vm_add,0.01534140810620888,0.06023083928861007,51,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|606"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,607,20000,4000,12.390944719314575,0.0004911222434193251,0.015242114307652377,0.053168795316285065,1.001584646974881,41.75,0.4175,0.0,0.03642064788495506,0.05,,0.0004911222434193251,0.008204047167754537,0,vm_add,0.006825715680207237,0.031413317266843065,36,vm_add,0.005545032646200935,0.04405953268885525,41,vm_add,0.006781622129752476,0.04652296978143504,53,vm_add,0.03485361378230633,0.06582329641343058,38,vm_add,0.01092867666982689,0.07561265019872067,49,vm_add,0.011120571235005585,0.056276657053944336,46,vm_add,0.020301876565760206,0.046720677167661734,31,vm_add,0.02557980575215937,0.05892126195938984,40,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|607"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,608,20000,4000,12.398650169372559,0.0006756984310903283,0.024769712578248802,0.0778533173523901,1.0117064601629169,42.625,0.42625,0.0,0.04648862288165044,0.05,,0.0006756984310903283,0.013619621398387863,0,vm_add,0.008143349538892255,0.029711788093220764,33,vm_add,0.005778857520680335,0.031506878662674896,28,vm_add,0.01284559474243774,0.07736638197669866,57,vm_add,0.014438374617316795,0.03732145496391342,27,vm_add,0.012734206617171702,0.10792469177212526,53,vm_add,0.01043163196785483,0.06783427230109002,55,vm_add,0.11892216619693569,0.14032702565707217,23,vm_add,0.01486351942470106,0.1308340453923256,65,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|608"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,609,20000,4000,12.412715673446655,0.00025655863405486156,0.020734257640433407,0.04977921052874913,1.0107568121770247,37.875,0.37875000000000003,0.0,0.03993117990708883,0.05,,0.00025655863405486156,0.010364632278111527,0,vm_add,0.07937915398400659,0.08318441587664512,7,vm_add,0.011485185570087758,0.05232883097131525,51,vm_add,0.00662908160959933,0.046785719898351806,48,vm_add,0.008450525019162996,0.03751392080253121,41,vm_add,0.011690800156510812,0.04435829485822177,43,vm_add,0.013763205043060339,0.058562903706321404,51,vm_add,0.022331127411888318,0.04759090489396502,38,vm_add,0.012144982329151096,0.027908693222641483,24,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|609"
h13_event_gamma,"H12 swarm, event-aware gamma",n100 m10 vm_add lam=0.05,vm_add,100,10,610,20000,4000,12.316575765609741,0.00036567805905041053,0.016324706567357884,0.06068695898040306,1.0017353166774599,44.5,0.445,0.0,0.038919510682760186,0.05,,0.00036567805905041053,0.0068499866289539755,0,vm_add,0.0040674344722802,0.04321792037854724,60,vm_add,0.008589932291542738,0.027165507471124048,24,vm_add,0.01812770446344061,0.07153506375853048,47,vm_add,0.006914919141534185,0.040324737651037314,46,vm_add,0.013866084604433717,0.04339002543276379,36,vm_add,0.017199424496113017,0.08298569657836909,60,vm_add,0.053205615990411625,0.13146915026767692,37,vm_add,0.008626537079106973,0.04540757030517562,46,"H12 swarm, event-aware gamma|n100 m10 vm_add lam=0.05|610"
