A,B,instance,gap A %,gap B %,diff (A-B) pp,CI95 lo,CI95 hi,p,cliffs_delta,A12 (P[A better]),p_holm
QI-DMO,DMO,n50 m10 bimodal high,14.324767317885886,51.95270936214133,-37.62794204425544,-44.04109890840035,-33.66701655378439,0.00731502296366216,-1.0,1.0,0.021945068890986477
QI-DMO,DMO,n100 m10 uniform high,5.002834354393018,83.54556566512095,-78.54273131072792,-83.20293605750363,-74.99421529706481,0.0009589461169320475,-1.0,1.0,0.00383578446772819
QI-DMO,DMO,n50 m10 uniform none,6.557371091933867,16.244753612980315,-9.687382521046446,-11.666213260400502,-7.2186916743454965,0.017721538933983406,-1.0,1.0,0.03544307786796681
QI-DMO,GA,n30 m5 uniform high,1.8548322797204444,0.9733417629016324,0.8814905168188121,0.5376350603345992,1.3233094650246042,0.06282976738043947,1.0,0.0,0.12565953476087893
QI-DMO,GA,n50 m10 bimodal high,14.324767317885886,11.110472717157482,3.214294600728404,-10.10184826602166,18.39433016293053,0.7352560868912754,0.5555555555555556,0.2222222222222222,0.7352560868912754
QI-DMO,GA,n100 m10 uniform high,5.002834354393018,1.6404390733219798,3.3623952810710382,2.685524536477322,3.806222648404342,0.010297264536544237,1.0,0.0,0.03089179360963271
QI-DMO,GA,n50 m10 uniform none,6.557371091933867,3.712464268910808,2.844906823023059,2.7462052946399518,3.0177173958607946,0.0009273890598877075,1.0,0.0,0.00370955623955083
QI-MRFO,QI-DMO,n30 m5 uniform high,1.0174659645021442,1.8548322797204444,-0.8373663152183001,-1.340485402429141,0.021147113008405244,0.19174871340171218,-0.7777777777777777,0.8888888888888888,0.38349742680342436
QI-MRFO,QI-DMO,n50 m10 bimodal high,11.343945560001428,14.324767317885886,-2.9808217578844585,-15.684415619907455,10.871342844552634,0.7355777188134092,-0.5555555555555556,0.7777777777777778,0.7355777188134092
QI-MRFO,QI-DMO,n100 m10 uniform high,1.4886654330408624,5.002834354393018,-3.5141689213521556,-3.9736072945612313,-2.910393369822163,0.007953905034188266,-1.0,1.0,0.023861715102564796
QI-MRFO,QI-DMO,n50 m10 uniform none,2.5712552558299127,6.557371091933867,-3.986115836103954,-4.481393438250701,-3.6481882091141684,0.0040063720776155306,-1.0,1.0,0.016025488310462122
