change,algo,strategy,seed,post_gap,auc_gap,vs_maxmin,epoch0_gap
vm_fail,QI-MRFO,shock g=0.25,8,0.023024781009652794,0.03919390033116871,1.008947966854242,0.05749953293626187
vm_fail,QI-MRFO,shock g=0.25,9,0.01639170939669707,0.04055062629694288,1.0066867609492844,0.020232254787472953
vm_fail,QI-MRFO,shock g=0.5,0,0.021304898409035714,0.05222530465821128,1.011253320590039,0.04447783037121954
vm_fail,QI-MRFO,shock g=0.5,1,0.019072483629750357,0.0362192003291164,1.0059532227996626,0.030569763215201554
vm_fail,QI-MRFO,shock g=0.5,2,0.01706864051711532,0.03558147081283071,1.0009764691295144,0.031048216084085485
vm_fail,QI-MRFO,shock g=0.5,3,0.021733874544245652,0.04658928092711032,1.007832652969345,0.01984229684932734
vm_fail,QI-MRFO,shock g=0.5,4,0.02109582255933166,0.07193341623498484,1.0064708173159058,0.03833270170130556
vm_fail,QI-MRFO,shock g=0.5,5,0.021894167553950013,0.03712885762388143,1.0112047822244932,0.017162763133198245
vm_fail,QI-MRFO,shock g=0.5,6,0.024514189221334352,0.051966877244064756,1.0137068371591897,0.026598728744171754
vm_fail,QI-MRFO,shock g=0.5,7,0.02308094643192825,0.05035804495843092,1.0113756843473038,0.0683811368309602
vm_fail,QI-MRFO,shock g=0.5,8,0.019023935787965178,0.037572152824226594,1.00503070218345,0.05749953293626187
vm_fail,QI-MRFO,shock g=0.5,9,0.01779099938819611,0.056680944664119125,1.0080743962469803,0.020232254787472953
vm_fail,QI-MRFO,shock g=0.75,0,0.028951247413820456,0.06208288426855259,1.018827960520285,0.04447783037121954
vm_fail,QI-MRFO,shock g=0.75,1,0.018493414559731358,0.049792122874407534,1.005391379245848,0.030569763215201554
vm_fail,QI-MRFO,shock g=0.75,2,0.019512627643172818,0.038828333999749776,1.0033778619873306,0.031048216084085485
vm_fail,QI-MRFO,shock g=0.75,3,0.022636656658584157,0.05480685492075752,1.008730519895241,0.01984229684932734
vm_fail,QI-MRFO,shock g=0.75,4,0.019818299238568305,0.08761778756378594,1.005215390032401,0.03833270170130556
vm_fail,QI-MRFO,shock g=0.75,5,0.015510467365943598,0.05448921120427589,1.0048987281779653,0.017162763133198245
vm_fail,QI-MRFO,shock g=0.75,6,0.019927348169228646,0.07857012532191389,1.0091522184203168,0.026598728744171754
vm_fail,QI-MRFO,shock g=0.75,7,0.027713929380864626,0.06102253867141838,1.0159456380089786,0.0683811368309602
vm_fail,QI-MRFO,shock g=0.75,8,0.025406795192028826,0.05019457424116393,1.0113241770695176,0.05749953293626187
vm_fail,QI-MRFO,shock g=0.75,9,0.021910484715635763,0.0816542481062384,1.0121607450642545,0.020232254787472953
vm_fail,MRFO,restart,0,0.4108353737909195,0.4955754044755484,1.396877124035961,0.661573553201824
vm_fail,MRFO,restart,1,0.20804684007390203,0.28092277067084187,1.19215352773032,0.3637826418921461
vm_fail,MRFO,restart,2,0.2071402425105569,0.24616686222567713,1.1877727525195327,0.364173525434947
vm_fail,MRFO,restart,3,0.1519008136289062,0.2239139294455234,1.1358363000306775,0.2757351698555639
vm_fail,MRFO,restart,4,0.6284229778614635,0.6769506627875291,1.6043822648106125,0.6942779594531425
vm_fail,MRFO,restart,5,0.2597023159251105,0.34849276558529246,1.2462053812167864,0.5073161873575747
vm_fail,MRFO,restart,6,0.7548710662605549,0.909882283623699,1.7366408390260577,0.40527578926543967
vm_fail,MRFO,restart,7,0.288375644635816,0.3557962186611631,1.2736611502273896,0.3532726946815551
vm_fail,MRFO,restart,8,0.1296317359358577,0.16110443704915117,1.1140111796979197,0.2459081507710618
vm_fail,MRFO,restart,9,0.37009602195768976,0.41449753795888605,1.3569913983285644,0.33898878635242763
vm_fail,MRFO,continue,0,0.17654236626197797,0.1776490892119788,1.1649145279263078,0.661573553201824
vm_fail,MRFO,continue,1,0.15748089508457455,0.17366640749281187,1.1424090133885616,0.3637826418921461
vm_fail,MRFO,continue,2,0.1213636920263617,0.12664561533335322,1.1034102946140116,0.364173525434947
vm_fail,MRFO,continue,3,0.10110872897350642,0.10122554244086861,1.0860321117624143,0.2757351698555639
vm_fail,MRFO,continue,4,0.3237392848059037,0.3340105738665216,1.3041142870220928,0.6942779594531425
vm_fail,MRFO,continue,5,0.10091634948178418,0.10220132653317479,1.0890973895649136,0.5073161873575747
vm_fail,MRFO,continue,6,0.13615487561049877,0.1400076272680288,1.1242015298103365,0.40527578926543967
vm_fail,MRFO,continue,7,0.13967322320499392,0.14783290651942846,1.1265735416222293,0.3532726946815551
vm_fail,MRFO,continue,8,0.09396280513284085,0.09732687298311098,1.0789026037741922,0.2459081507710618
vm_fail,MRFO,continue,9,0.1012107028599879,0.10552458153170281,1.090621584233997,0.33898878635242763
vm_fail,GA,restart,0,0.02471053535188178,0.07917920009559287,1.0146278032698803,0.03330845355709214
vm_fail,GA,restart,1,0.022859859106074458,0.07933186779976885,1.0096874564193743,0.044737215045632446
