A,B,instance,gap A %,gap B %,diff (A-B) pp,CI95 lo,CI95 hi,p,cliffs_delta,A12 (P[A better]),p_holm
QI-MRFO,Max-Min,n100 m10 uniform high,1.1222325799403834,0.8260686398887209,0.2961639400516625,0.13817377429362593,0.49000147593818383,0.0007296018302440643,0.39999999999999997,0.3,0.002188805490732193
QI-MRFO,Max-Min,n50 m10 uniform none,3.138453366867898,2.095393466421361,1.0430599004465366,0.7493515554719626,1.3353420090762034,1.6838312149047852e-06,0.7333333333333334,0.13333333333333333,8.419156074523926e-06
QI-MRFO,Max-Min,n200 m20 uniform high,2.7878868938871633,0.8154934211988741,1.9723934726882895,1.6791447124659242,2.3290102890982136,1.862645149230957e-09,1.0,0.0,1.30385160446167e-08
QI-MRFO,Max-Min,n100 m10 lognormal low,1.0665242382775613,0.7883456827683941,0.27817855550916704,0.12728023632789057,0.4615965873075914,0.001340603455901146,0.39999999999999997,0.3,0.002681206911802292
QI-MRFO,Max-Min,n60 m8 bimodal none,8.679479741000904,3.9614505941632343,4.718029146837669,3.736671732159473,5.76157514878814,1.7655861096259607e-06,0.9666666666666667,0.016666666666666666,8.419156074523926e-06
QI-DMO,DMO,n30 m5 uniform high,1.6484288867899846,2.893301684332632,-1.244872797542647,-1.568577473883305,-0.9389900448428384,1.6391277313232422e-07,-0.8244444444444445,0.9122222222222223,1.6391277313232422e-07
QI-DMO,DMO,n50 m10 bimodal high,18.035522273063965,40.849630624783465,-22.814108351719515,-27.166664536864467,-18.48901745068942,1.862645149230957e-09,-0.9644444444444444,0.9822222222222222,1.30385160446167e-08
QI-DMO,DMO,n100 m10 uniform high,3.962695662110522,75.3930971952751,-71.43040153316458,-75.60605647478093,-67.37594506260592,1.862645149230957e-09,-1.0,1.0,1.30385160446167e-08
QI-DMO,DMO,n50 m10 uniform none,7.165937675320393,16.050692592813004,-8.884754917492614,-9.767636081379315,-7.949535527858726,1.862645149230957e-09,-1.0,1.0,1.30385160446167e-08
QI-DMO,DMO,n200 m20 uniform high,9.017491507270794,246.1603417553474,-237.14285024807654,-249.1244983313987,-224.74447671898392,1.862645149230957e-09,-1.0,1.0,1.30385160446167e-08
QI-DMO,DMO,n100 m10 lognormal low,3.1647255409621273,15.793579749676942,-12.628854208714817,-13.491290350405098,-11.774779461794079,1.862645149230957e-09,-1.0,1.0,1.30385160446167e-08
QI-DMO,DMO,n60 m8 bimodal none,9.233282822054175,18.461030533980665,-9.227747711926494,-10.234651526211708,-8.183693230546188,1.862645149230957e-09,-0.991111111111111,0.9955555555555555,1.30385160446167e-08
QI-DMO,GA,n30 m5 uniform high,1.6484288867899846,0.8683536774994526,0.7800752092905321,0.5619556295721043,1.0087645775155842,3.855675458908081e-07,0.7933333333333332,0.10333333333333333,1.1567026376724243e-06
QI-DMO,GA,n50 m10 bimodal high,18.035522273063965,13.552497888772413,4.483024384291546,1.5273999408480023,7.131639021369664,0.007111456245183945,0.3711111111111111,0.31444444444444447,0.01422291249036789
QI-DMO,GA,n100 m10 uniform high,3.962695662110522,1.4439661966446482,2.518729465465874,2.3022251781946177,2.7589466388962296,1.862645149230957e-09,1.0,0.0,1.30385160446167e-08
QI-DMO,GA,n50 m10 uniform none,7.165937675320393,3.5497904820712765,3.616147193249118,3.0878940702385225,4.148077141152904,1.862645149230957e-09,0.991111111111111,0.0044444444444444444,1.30385160446167e-08
QI-DMO,GA,n200 m20 uniform high,9.017491507270794,3.250603474778508,5.766888032492284,4.986449013956737,6.559753135170469,1.862645149230957e-09,1.0,0.0,1.30385160446167e-08
QI-DMO,GA,n100 m10 lognormal low,3.1647255409621273,1.068670793188448,2.096054747773678,1.7996920694210012,2.3942377813702023,3.725290298461914e-09,0.9644444444444444,0.017777777777777778,1.4901161193847656e-08
QI-DMO,GA,n60 m8 bimodal none,9.233282822054175,8.043724927273525,1.1895578947806493,-0.33900267874417844,2.7349882182867824,0.08587095353025363,0.22333333333333333,0.3883333333333333,0.08587095353025363
QI-MRFO,QI-DMO,n30 m5 uniform high,1.0550188642785352,1.6484288867899846,-0.5934100225114497,-0.8370385122922859,-0.3638387892050693,4.4075772166252136e-05,-0.6000000000000001,0.8,0.0001322273164987564
QI-MRFO,QI-DMO,n50 m10 bimodal high,11.987212753822078,18.035522273063965,-6.048309519241885,-8.86527935343148,-3.1293197360690406,0.0009276732875295006,-0.45111111111111113,0.7255555555555555,0.0018553465750590012
QI-MRFO,QI-DMO,n100 m10 uniform high,1.1222325799403834,3.962695662110522,-2.8404630821701384,-3.0564627900418504,-2.6234050132139983,1.862645149230957e-09,-0.9977777777777779,0.9988888888888889,1.30385160446167e-08
QI-MRFO,QI-DMO,n50 m10 uniform none,3.138453366867898,7.165937675320393,-4.027484308452495,-4.6413762584134455,-3.4071295878398677,1.862645149230957e-09,-0.9977777777777779,0.9988888888888889,1.30385160446167e-08
QI-MRFO,QI-DMO,n200 m20 uniform high,2.7878868938871633,9.017491507270794,-6.229604613383627,-7.055370256845671,-5.4280994962676345,1.862645149230957e-09,-0.9977777777777779,0.9988888888888889,1.30385160446167e-08
QI-MRFO,QI-DMO,n100 m10 lognormal low,1.0665242382775613,3.1647255409621273,-2.0982013026845654,-2.424802424774371,-1.7676981993476804,1.862645149230957e-09,-0.9822222222222223,0.9911111111111112,1.30385160446167e-08
QI-MRFO,QI-DMO,n60 m8 bimodal none,8.679479741000904,9.233282822054175,-0.5538030810532714,-2.112367403188988,0.8896017238584966,0.5999069953618537,-0.11888888888888888,0.5594444444444444,0.5999069953618537
