algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
DMO,n10 m3 uniform high,10,3,0,6000,10.220315611397877,10.220315611397877,2.407443434673629,10.18524780805406,0.003442999522906821,1.51806640625,5985,0.23737373737373738,0.04107744107744108,0.18585858585858586,2.6404040404040403,0.835421888053467,0.10919540229885058,,3.1535353535353536,2.1272727272727274,17a tiny
DMO,n10 m3 uniform high,10,3,1,6000,10.211738321658405,10.211738321658405,2.406441812087969,10.18524780805406,0.0026008707989802716,2.2692344188690186,5985,0.2878787878787879,0.05925925925925926,0.18131313131313131,2.3015151515151517,0.835421888053467,0.08390804597701149,,3.3851851851851853,1.217845117845118,17a tiny
QI-DMO,n10 m3 uniform high,10,3,0,6000,10.191945722545494,10.191945722545494,2.403548349098336,10.18524780805406,0.000657609379532043,5.7441089153289795,5982,0.14124579124579126,0.017676767676767676,0.2833333333333333,2.268686868686869,1.0030090270812437,0.1806896551724138,0.8449657541993713,2.7488215488215486,1.7885521885521884,17a tiny
QI-DMO,n10 m3 uniform high,10,3,1,6000,10.229389470871311,10.229389470871311,2.4089391947551757,10.18524780805406,0.004333882066408455,5.810354232788086,5982,0.11801346801346801,0.021885521885521887,0.2930976430976431,2.593771043771044,0.5015045135406219,0.22344827586206897,0.8301268829455398,3.3205387205387207,1.867003367003367,17a tiny
Max-Min,n40 m2 uniform high,40,2,0,6000,86.97017652231183,86.97017652231183,10.961880230619398,86.66369131914271,0.0035364891398460365,0.052050113677978516,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17b two VMs
Max-Min,n40 m2 uniform high,40,2,1,6000,86.97017652231183,86.97017652231183,10.961880230619398,86.66369131914271,0.0035364891398460365,0.01829075813293457,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17b two VMs
Random,n40 m2 uniform high,40,2,0,6000,86.66624933783507,86.66624933783507,10.940406249439706,86.66369131914271,2.9516613629285917e-05,0.9951317310333252,6000,0.0,0.0,0.0,0.0,0.5,0.4956896551724138,,,,17b two VMs
Random,n40 m2 uniform high,40,2,1,6000,86.668403942579,86.668403942579,10.940558483080144,86.66369131914271,5.437829112235949e-05,1.090616226196289,6000,0.0,0.0,0.0,0.0,0.8333333333333334,0.49511494252873567,,,,17b two VMs
MRFO,n40 m2 uniform high,40,2,0,6000,86.67774910225798,86.67774910225798,10.941218765520535,86.66369131914271,0.00016221075863817342,3.081695318222046,5970,0.10875420875420876,0.0,0.0234006734006734,12.046969696969697,0.5025125628140703,0.10982758620689655,,13.33973063973064,10.754208754208754,17b two VMs
MRFO,n40 m2 uniform high,40,2,1,6000,86.66749739363584,86.66749739363584,10.940527076767,86.66369131914271,4.391775188886391e-05,2.168245553970337,5970,0.24276094276094276,0.0,0.027609427609427608,9.78973063973064,0.5025125628140703,0.04183908045977012,,12.15117845117845,7.428282828282828,17b two VMs
QI-MRFO,n40 m2 uniform high,40,2,0,6000,86.66638694904944,86.66638694904944,10.940415972362757,86.66369131914271,3.110448984683038e-05,5.754638433456421,5970,0.3132996632996633,0.0,0.027946127946127945,3.7794612794612794,1.0050251256281406,0.0,0.9630854468009811,4.990572390572391,2.568350168350168,17b two VMs
QI-MRFO,n40 m2 uniform high,40,2,1,6000,86.66550498124911,86.66550498124911,10.940353656910528,86.66369131914271,2.092758892211651e-05,4.722088575363159,5970,0.26161616161616164,0.0,0.034006734006734006,4.5375420875420875,0.6700167504187605,0.0,0.9492937957908315,5.735690235690235,3.3393939393939394,17b two VMs
GA,n40 m2 uniform high,40,2,0,6000,86.66709425772574,86.66709425772574,10.940465947271152,86.66369131914271,3.926602399718763e-05,3.1901729106903076,5975,0.17224558452481076,0.0,0.22657695542472667,2.5382674516400336,1.00418410041841,0.04977011494252874,,3.6086810228802153,1.4682139253279516,17b two VMs
