algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late
QI-MRFO,n30 m5 uniform high,30,5,0,6000,46.0617441318315,46.0617441318315,11.104657903834102,44.52792459708759,0.03444623904263964,9.028451681137085,5970,0.19747474747474747,0.015993265993265993,0.02643097643097643,4.74949494949495,1.6750418760469012,0.0022222222222222222,0.9153457024244896,5.951515151515151,3.5474747474747477
QI-MRFO,n30 m5 uniform high,30,5,1,6000,45.101205170018915,45.101205170018915,10.946175509831036,44.52792459708759,0.012874630428403581,9.657495498657227,5970,0.17643097643097644,0.01616161616161616,0.04562289562289562,4.626767676767677,3.0150753768844223,0.0,0.9281029068801531,5.816835016835017,3.4367003367003366
QI-DMO,n30 m5 uniform high,30,5,0,6000,46.192249508869516,46.192249508869516,11.11561270535527,44.52792459708759,0.03737710497045673,6.729616403579712,5973,0.005050505050505051,0.02643097643097643,0.34225589225589226,9.513468013468014,2.343880796919471,0.28528735632183905,0.8664174552119869,11.483501683501684,7.543434343434344
QI-DMO,n30 m5 uniform high,30,5,1,6000,45.3140021595539,45.3140021595539,10.951190009855054,44.52792459708759,0.01765358636359452,11.325524091720581,5973,0.00404040404040404,0.025757575757575757,0.3400673400673401,8.91043771043771,1.6742005692281936,0.37440613026819924,0.8391517979638169,10.390572390572391,7.430303030303031
P-MRFO (linear twin),n30 m5 uniform high,30,5,0,6000,44.9665178811161,44.9665178811161,10.877426120537082,44.52792459708759,0.009849847887525243,10.030316591262817,5970,0.24461279461279462,0.0065656565656565654,0.04107744107744108,4.434680134680135,2.0100502512562812,0.0,0.934775354556874,5.498316498316498,3.371043771043771
P-MRFO (linear twin),n30 m5 uniform high,30,5,1,6000,45.308569179607915,45.308569179607915,10.965474104378357,44.52792459708759,0.01753157349200558,6.738889455795288,5970,0.23552188552188552,0.015824915824915825,0.04292929292929293,4.716835016835017,2.512562814070352,0.02896551724137931,0.9296389871441966,5.911784511784512,3.521885521885522
Max-Min,n50 m10 bimodal high,50,10,0,6000,27.05759537385895,27.05759537385895,16.064771409780167,25.10693322506205,0.07769416245747301,0.058852434158325195,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Max-Min,n50 m10 bimodal high,50,10,1,6000,27.05759537385895,27.05759537385895,16.064771409780167,25.10693322506205,0.07769416245747301,0.04620242118835449,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Min-Min,n50 m10 bimodal high,50,10,0,6000,37.353939415242486,37.353939415242486,19.004531085825345,25.10693322506205,0.48779379306889314,0.0019431114196777344,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Min-Min,n50 m10 bimodal high,50,10,1,6000,37.353939415242486,37.353939415242486,19.004531085825345,25.10693322506205,0.48779379306889314,0.018231630325317383,1,0.0,0.0,0.0,0.0,0.0,0.0,,,
Random,n50 m10 bimodal high,50,10,0,6000,33.674021522953296,33.674021522953296,18.419430770850834,25.10693322506205,0.34122400458449753,1.741407871246338,6000,0.0,0.0,0.0,0.0,1.3333333333333333,0.9012873563218391,,,
Random,n50 m10 bimodal high,50,10,1,6000,34.0370170651558,34.0370170651558,18.227379974547187,25.10693322506205,0.3556819847347836,1.7848315238952637,6000,0.0,0.0,0.0,0.0,1.0,0.9010114942528736,,,
PSO,n50 m10 bimodal high,50,10,0,6000,28.156265784816995,28.156265784816995,16.371232715156783,25.10693322506205,0.12145380450970662,2.3130009174346924,6000,0.009045226130653266,0.019932998324958123,0.06482412060301508,17.582412060301507,4.5,0.3028045977011494,,24.12897822445561,11.035845896147404
