algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
QI-MRFO,n50 m10 bimodal high,50,10,22,10000,28.36906024776471,28.36906024776471,16.64834394786156,25.10693322506205,0.12992933041484991,5.793118953704834,9990,0.12339357429718875,0.15883534136546185,0.04769076305220884,7.361244979919679,3.2032032032032034,0.011908045977011495,0.9515250017487763,9.956626506024097,4.765863453815261,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,23,10000,26.029187757451126,26.029187757451126,15.659596047611934,25.10693322506205,0.03673306190452882,5.238843679428101,9990,0.11375502008032129,0.08012048192771085,0.06716867469879519,7.283935742971887,4.604604604604605,0.009195402298850575,0.9455911900574244,9.596184738955824,4.9716867469879515,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,24,10000,27.908524993344948,27.908524993344948,16.42507289944175,25.10693322506205,0.11158637907581295,5.565581798553467,9990,0.1106425702811245,0.1642570281124498,0.0464859437751004,7.1286144578313255,3.4034034034034035,0.013333333333333332,0.942509738818846,9.111044176706827,5.1461847389558235,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,25,10000,27.29735683508133,27.29735683508133,16.130500703345096,25.10693322506205,0.08724377407563152,8.45669960975647,9990,0.11395582329317269,0.18775100401606426,0.04598393574297189,6.739558232931727,3.103103103103103,0.009333333333333334,0.9552843481576588,8.408835341365462,5.070281124497992,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,26,10000,28.24984909932617,28.24984909932617,16.403158473605583,25.10693322506205,0.12518119381967455,6.841233015060425,9990,0.10532128514056224,0.1893574297188755,0.03594377510040161,7.30863453815261,2.6026026026026026,0.03204597701149425,0.9462004496146087,9.295180722891565,5.322088353413655,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,27,10000,27.06024893394277,27.06024893394277,16.034626235104753,25.10693322506205,0.07779985278850766,5.71377158164978,9990,0.08363453815261045,0.2317269076305221,0.0394578313253012,7.454317269076305,2.2022022022022023,0.021885057471264367,0.9399214993740704,9.383333333333333,5.525301204819277,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,28,10000,29.758118635547262,29.758118635547262,16.906543870860244,25.10693322506205,0.18525501975057396,6.488476753234863,9990,0.0927710843373494,0.25742971887550203,0.024799196787148595,7.232831325301205,1.901901901901902,0.02749425287356322,0.9431755475391114,9.289357429718876,5.176305220883534,17f bimodal tall barriers
QI-MRFO,n50 m10 bimodal high,50,10,29,10000,29.894998171300283,29.894998171300283,17.060148803599063,25.10693322506205,0.19070688177314812,5.576290607452393,9990,0.09066265060240963,0.22088353413654618,0.03744979919678715,7.335542168674698,2.3023023023023024,0.03066666666666667,0.9372580378658603,9.446385542168676,5.224698795180723,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,0,10000,31.120973246569477,31.120973246569477,17.644552594688463,25.10693322506205,0.23953702220803844,6.130812406539917,9977,0.02060922891324017,0.330752990851513,0.16336583894641601,6.1588418618678995,1.4032274230730681,0.23420689655172414,,6.642469334405791,5.675311620426216,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,1,10000,26.37987249916972,26.37987249916972,15.65324062949543,25.10693322506205,0.05070070735827692,7.393759489059448,9977,0.025133205991756308,0.1481853825273952,0.23062229818035587,5.494722026741731,2.906685376365641,0.2104367816091954,,6.388497888598431,4.601125854443104,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,2,10000,30.24917514033006,30.24917514033006,17.16947995705973,25.10693322506205,0.2048136213679399,6.806249141693115,9977,0.022016688448778528,0.3088368352267015,0.17140846486377803,6.259776817130793,1.3029968928535631,0.23140229885057473,,6.808566257792077,5.711097708082026,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,3,10000,29.88175125494343,29.88175125494343,16.89975020694461,25.10693322506205,0.19017926192256324,3.2463936805725098,9977,0.020307630441339097,0.41349150497637477,0.13099426962903388,5.881170202070976,0.8018442417560389,0.2325977011494253,,6.272471345264428,5.4899477281865705,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,4,10000,30.231095373100487,30.231095373100487,16.897751409657726,25.10693322506205,0.20409351082845256,3.8129053115844727,9977,0.018196441138031566,0.4298783552829999,0.1279782849100231,6.254348044636574,2.7062243159266313,0.22027586206896552,,7.126684094108184,5.382187374346603,17f bimodal tall barriers
GA,n50 m10 bimodal high,50,10,5,10000,29.996545296212137,29.996545296212137,17.112538596378883,25.10693322506205,0.19475146674900204,3.3779635429382324,9977,0.02211722127274555,0.34673770986227004,0.159445058811702,6.361817633457324,1.6036884835120777,0.21337931034482757,,6.9428916147194855,5.78086047446723,17f bimodal tall barriers
