key,problem_set,variant,problem,tasks,vms,task_lengths,vm_heterogeneity,instance_seed,run_seed,budget,makespan_s,energy_Wh,lower_bound_s,lower_bound_pmtn_s,gap_pct,gap_pmtn_pct,runtime_s,evaluations,best_at_005pct_s,best_at_010pct_s,best_at_015pct_s,best_at_020pct_s,best_at_025pct_s,best_at_030pct_s,best_at_035pct_s,best_at_040pct_s,best_at_045pct_s,best_at_050pct_s,best_at_055pct_s,best_at_060pct_s,best_at_065pct_s,best_at_070pct_s,best_at_075pct_s,best_at_080pct_s,best_at_085pct_s,best_at_090pct_s,best_at_095pct_s,best_at_100pct_s
unseen|QI-MRFO + swap|150-15-uniform-high|inst103|run0|b20000,unseen,QI-MRFO + swap,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,103,0,20000,50.85322382222516,43.463270235593725,50.736508823246375,50.73650882324637,0.23004144685120628,0.23004144685122033,4.087545394897461,19950,57.68968156471848,51.656029357886375,51.42361645483989,51.2837611613218,51.23008681886959,51.16915450520677,51.14630222204503,51.10792719652461,51.05939884188829,51.00868151080729,50.94012184578749,50.93104337721688,50.914651988738505,50.90391438956308,50.87480893411459,50.87129536589142,50.87129536589142,50.862053460998375,50.862053460998375,50.85322382222516
unseen|QI-MRFO + swap|150-15-uniform-high|inst103|run1|b20000,unseen,QI-MRFO + swap,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,103,1,20000,50.8130921116292,43.476038121151376,50.736508823246375,50.73650882324637,0.15094315742067638,0.1509431574206904,4.1070191860198975,19950,55.59706675134525,52.49032385624936,51.24996588656944,51.07713626254399,51.03663419570295,50.95670910901152,50.930437708181884,50.87031763918192,50.86399898458079,50.85137890142157,50.83948828388258,50.837012695213915,50.82291958064433,50.82272115093682,50.8218047304503,50.82170119426051,50.81485239030722,50.81467706989832,50.8130921116292,50.8130921116292
unseen|MRFO (original)|150-15-uniform-high|inst104|run0|b20000,unseen,MRFO (original),"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,104,0,20000,90.9400271493575,66.36901463676708,53.7132759632956,53.71327596329559,69.30642474962876,69.30642474962882,0.6202554702758789,19950,126.45208500398496,122.37954424667173,117.06975434982067,93.77682194947498,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575,90.9400271493575
unseen|MRFO (original)|150-15-uniform-high|inst104|run1|b20000,unseen,MRFO (original),"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,104,1,20000,97.60189359359947,69.96631710972368,53.7132759632956,53.71327596329559,81.70906883485321,81.70906883485327,0.6500365734100342,19950,116.20317751458849,107.40695521075949,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947,97.60189359359947
unseen|QI-MRFO + swap + Max-Min start|150-15-uniform-high|inst103|run1|b20000,unseen,QI-MRFO + swap + Max-Min start,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,103,1,20000,50.78868065228608,43.4682138372976,50.736508823246375,50.73650882324637,0.10282896921713996,0.10282896921715398,4.119448661804199,19951,50.95594079519585,50.900502445922356,50.88146692503469,50.87351781417131,50.8676053124341,50.85481924109805,50.85446528033506,50.835472490465435,50.83254322714546,50.827986353429615,50.82267046956822,50.82164742102935,50.82164742102935,50.82076942392786,50.82076942392786,50.81852043178789,50.79922832366553,50.79922832366553,50.78978087095752,50.78868065228608
unseen|QI-MRFO + swap + Max-Min start|150-15-uniform-high|inst103|run0|b20000,unseen,QI-MRFO + swap + Max-Min start,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,103,0,20000,50.76567422418103,43.45664915522114,50.736508823246375,50.73650882324637,0.05748405164467235,0.05748405164468637,4.438290119171143,19951,51.028862929165136,50.905879279668596,50.88029062405354,50.857119092582906,50.857119092582906,50.83296134423974,50.83296134423974,50.815098314827274,50.807737275676025,50.80008375052595,50.79563690050576,50.79405530840968,50.789998431795986,50.789998431795986,50.781477383762464,50.781477383762464,50.78140311746513,50.7759877964219,50.768724330337974,50.76567422418103
unseen|QI-MRFO|150-15-uniform-high|inst104|run0|b20000,unseen,QI-MRFO,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,104,0,20000,54.74693340256075,46.345578405040754,53.7132759632956,53.71327596329559,1.9243984298620835,1.9243984298621106,3.07598614692688,19950,76.2264165665925,72.91956607948958,65.51821983169272,59.47221577687632,57.25314062636078,56.715349828629854,55.68881302968411,54.9031922186293,54.9031922186293,54.9031922186293,54.79788088971438,54.74693340256075,54.74693340256075,54.74693340256075,54.74693340256075,54.74693340256075,54.74693340256075,54.74693340256075,54.74693340256075,54.74693340256075
unseen|QI-MRFO|150-15-uniform-high|inst104|run1|b20000,unseen,QI-MRFO,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,104,1,20000,55.48245875897878,46.58180031663396,53.7132759632956,53.71327596329559,3.293753292746715,3.2937532927467426,3.187488317489624,19950,86.80602129483927,79.46047907593436,72.33733370653346,65.87439886842095,58.97767710661708,58.776166623353525,58.13485729325831,56.83871357500813,55.710359778422756,55.48245875897878,55.48245875897878,55.48245875897878,55.48245875897878,55.48245875897878,55.48245875897878,55.48245875897878,55.48245875897878,55.48245875897878,55.48245875897878,55.48245875897878
unseen|QI-MRFO + swap|150-15-uniform-high|inst104|run0|b20000,unseen,QI-MRFO + swap,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,104,0,20000,53.75886751040743,45.93920414104707,53.7132759632956,53.71327596329559,0.08487947587293038,0.08487947587295686,3.955103874206543,19950,58.179924325621826,56.10221834173916,55.38848277978415,55.09377202445459,54.27252107654896,53.99425669470883,53.91246153380806,53.892957458231685,53.84980392152459,53.833303517344575,53.82762071212963,53.80975141784524,53.7949103017056,53.791954518624344,53.79078932281014,53.79064886023041,53.77733770775416,53.770223708973035,53.75886751040743,53.75886751040743
unseen|QI-MRFO + swap|150-15-uniform-high|inst104|run1|b20000,unseen,QI-MRFO + swap,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,104,1,20000,53.76443555271072,45.94151359083236,53.7132759632956,53.71327596329559,0.0952457069460457,0.09524570694607218,4.15270471572876,19950,57.916882000209924,55.981139250466754,54.543760235444296,54.178933038773856,54.07394295551364,53.9786247627175,53.90318398576473,53.864391171365995,53.81190134310487,53.79647807573399,53.79403458157873,53.79036715285436,53.79036715285436,53.78922359724369,53.78078025898535,53.773559577460354,53.773559577460354,53.76854630200126,53.76854630200126,53.76443555271072
unseen|MRFO (original)|150-15-uniform-high|inst105|run0|b20000,unseen,MRFO (original),"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,105,0,20000,125.24451101833434,81.03989611095314,62.004937667284445,62.004937667284445,101.99118929913364,101.99118929913364,0.677802324295044,19950,165.56282098632667,165.56282098632667,165.56282098632667,165.56282098632667,165.56282098632667,165.56282098632667,165.56282098632667,165.56282098632667,165.56282098632667,165.56282098632667,165.56282098632667,163.6855369387679,143.62209085874898,136.65730689305286,125.24451101833434,125.24451101833434,125.24451101833434,125.24451101833434,125.24451101833434,125.24451101833434
unseen|MRFO (original)|150-15-uniform-high|inst105|run1|b20000,unseen,MRFO (original),"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,105,1,20000,124.96783765759258,81.94492818317046,62.004937667284445,62.004937667284445,101.54497747931637,101.54497747931637,0.69344162940979,19950,157.88046947075856,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258,124.96783765759258
unseen|QI-MRFO + swap + Max-Min start|150-15-uniform-high|inst104|run0|b20000,unseen,QI-MRFO + swap + Max-Min start,"150 tasks, 15 VMs, uniform/high",150,15,uniform,high,104,0,20000,53.75089937757754,45.93013600669116,53.7132759632956,53.71327596329559,0.07004490716158898,0.07004490716161546,4.192365884780884,19951,53.99428729498123,53.94570660122179,53.88186053803272,53.84495432164083,53.815554033231486,53.79971444196059,53.79600734220246,53.78134644132851,53.77150419740212,53.77150419740212,53.7714052391677,53.7714052391677,53.76647491793159,53.761323063999,53.761323063999,53.75654952856569,53.75578307052439,53.7529591141503,53.75089937757754,53.75089937757754
