key,problem_set,variant,problem,tasks,vms,task_lengths,vm_heterogeneity,instance_seed,run_seed,budget,makespan_s,energy_Wh,lower_bound_s,lower_bound_pmtn_s,gap_pct,gap_pmtn_pct,runtime_s,evaluations,best_at_005pct_s,best_at_010pct_s,best_at_015pct_s,best_at_020pct_s,best_at_025pct_s,best_at_030pct_s,best_at_035pct_s,best_at_040pct_s,best_at_045pct_s,best_at_050pct_s,best_at_055pct_s,best_at_060pct_s,best_at_065pct_s,best_at_070pct_s,best_at_075pct_s,best_at_080pct_s,best_at_085pct_s,best_at_090pct_s,best_at_095pct_s,best_at_100pct_s
large|QI-MRFO|1000-50-uniform-high|inst1|run0|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,0,20000,141.15519771496184,368.9585601483067,101.37563564637229,101.37563564637225,39.23976586184105,39.23976586184111,25.078777551651,19950,325.23489294151574,290.59068842714646,261.7634589699379,243.7381935977138,226.3883877439328,206.78237639035558,198.44500751267682,192.3405171391421,182.05774242309388,175.8148167820052,170.02192131102873,169.58311188193574,163.52035418009817,157.92653764670726,156.47706407933606,155.46145837174515,147.8735090158221,145.05643812655424,143.94716402825966,141.15519771496184
large|QI-MRFO|1000-50-uniform-high|inst1|run1|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,1,20000,138.1520965089237,363.77830547885566,101.37563564637229,101.37563564637225,36.277415799234454,36.27741579923451,25.259555101394653,19950,308.24703244395465,281.46654085119565,252.50538192558716,242.5797959850302,229.58518617416794,217.75607042682861,205.99407095881725,191.81616186269193,183.31645143225285,172.4345734168603,169.19926758619715,165.4608203541299,160.59027490087644,158.8616730034489,153.44060426696055,149.40419747881901,144.30717644944556,142.1001226263688,141.46515713254448,138.1520965089237
large|QI-MRFO|1000-50-uniform-high|inst1|run2|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,2,20000,133.11257070926527,353.7606623856151,101.37563564637229,101.37563564637225,31.306274787366704,31.30627478736676,24.93101453781128,19950,305.36971534758806,272.42334195661454,252.93644782472865,236.56090425920104,220.52830716580672,205.68328990287418,201.56736760819746,193.9923842839777,184.34777506265232,177.1023558046639,166.66128120449608,165.71387407821518,161.53554570115227,160.48461550834912,154.01071795314147,151.5296268739525,142.13469233410294,139.25565906136526,135.75089734117026,133.11257070926527
large|QI-MRFO|1000-50-uniform-high|inst1|run3|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,3,20000,135.7499307609639,358.71356505359677,101.37563564637229,101.37563564637225,33.90784668862562,33.907846688625675,25.136234045028687,19950,299.3081742912528,255.44366764478494,228.1838089547208,215.54909135902503,208.4328566591395,201.5360474361701,195.1998170583889,187.59881497739198,182.3604641113916,176.16810635257318,170.82264767625145,165.2927507733234,160.8024098717758,156.67919928781902,153.63804271951201,152.05324687068352,146.47007599463257,139.68981687192974,139.39108905130732,135.7499307609639
large|QI-MRFO|1000-50-uniform-high|inst1|run4|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,4,20000,146.82425347790797,379.12746635650444,101.37563564637229,101.37563564637225,44.831894312429945,44.83189431243001,25.34100103378296,19950,307.87456308290126,280.89187868629847,273.543349616902,251.96462061579797,243.47169695543317,230.494523854227,214.0868959774816,202.3291517871789,197.5147519559861,192.75099401386257,182.10092739942598,175.02404874779572,173.6338694507424,169.02860406217104,167.83996937013924,163.8332665977734,160.04832249939312,153.84385637825065,148.45389012864104,146.82425347790797
large|QI-MRFO|1000-50-uniform-high|inst1|run5|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,5,20000,143.9806330434982,374.5259595191614,101.37563564637229,101.37563564637225,42.02686091729627,42.02686091729633,25.36811327934265,19950,302.0659291815211,278.61966851494594,253.75757606032408,234.91802526201914,221.61021162199629,215.02383373359152,213.42969204933263,205.6718069119979,192.5424485128624,187.66215244545825,183.06691859941466,177.84261786902763,173.70575700942865,171.07790969863333,168.28664334478088,157.61735695327403,153.37355619204328,148.67419303834058,145.32526069236675,143.9806330434982
large|QI-MRFO|1000-50-uniform-high|inst1|run7|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,7,20000,138.7097091615854,365.0845441917904,101.37563564637229,101.37563564637225,36.82746182272556,36.82746182272562,25.429776430130005,19950,287.04067157591163,270.2197446774451,249.54720983844854,228.40764296433898,224.38167185991622,217.4367101933505,208.59851227848995,198.05216231799068,187.50348225133982,179.67834260335144,168.97431411113695,167.890895252873,161.95948023955177,155.67995480599035,153.19302617706194,148.39976330607035,144.5059961209457,143.50541637637548,139.63445224806773,138.7097091615854
large|QI-MRFO|1000-50-uniform-high|inst1|run6|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,6,20000,136.13782377626165,359.6722984217194,101.37563564637229,101.37563564637225,34.2904761171116,34.29047611711166,25.818231105804443,19950,279.6484471155449,269.42558982884873,247.549292856017,227.26554938682585,209.39065904440827,203.14464605133963,200.32068318827078,189.47783125291932,184.97078774616975,172.80056889456137,168.9059822105473,159.9424023200656,157.59634962523228,151.9018684091899,148.0811827662489,142.27389404380222,141.21385352596678,138.35920732455378,138.09741981864377,136.13782377626165
large|QI-MRFO|1000-50-uniform-high|inst1|run8|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,8,20000,139.16952323218177,365.60271896969465,101.37563564637229,101.37563564637225,37.281036360300185,37.28103636030024,25.174229621887207,19950,325.4088718623233,298.34380164762035,271.1912063778678,247.7210951831736,218.57732065084286,209.28801437981642,192.66203220778038,189.1712922110372,180.4429649678702,171.11432463921813,162.68806596268936,161.9270009378255,157.301291972221,155.00791888833012,150.94388647689385,146.5823024042956,144.2863568868983,142.96138113024003,140.7658760201982,139.16952323218177
large|QI-MRFO|1000-50-uniform-high|inst1|run9|b20000,large,QI-MRFO,"1000 tasks, 50 VMs, uniform/high",1000,50,uniform,high,1,9,20000,136.55001819113934,360.3273532519971,101.37563564637229,101.37563564637225,34.69707718279127,34.69707718279133,25.203967332839966,19950,304.29938061927476,268.7085328319356,248.01685516538296,227.27969137222044,223.22310803727612,201.73500321107144,198.54227077558744,185.8489745760632,175.36377116819185,171.7944503341,165.63287925125982,164.22997902274167,161.05378700902574,155.0671485102555,151.76941526349546,149.6722925586842,149.6722925586842,144.56450025423237,140.07042052284885,136.55001819113934
