exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,post_cost_gap,mig_lambda,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
h8_migration,Max-Min (recompute),n100 m10 mixed lam=1.0,mixed,100,10,203,20000,4000,0.024947404861450195,0.010841809585975772,0.008105650862165692,0.7495182355029231,1.0,67.125,0.73546875,3.625,0.7495182355029231,1.0,,0.010841809585975772,0.010841809585975772,0,vm_add,0.010310055565287411,0.68721779279403,67,churn,0.00948688899880931,0.7539834696354312,59,drift,0.009852759160591385,0.757143800939429,74,vm_fail,0.006757273536361687,0.8255865226792692,61,vm_add,0.005377071790203976,0.7191947927612489,71,vm_fail,0.006757273536361687,0.7093899540252806,67,churn,0.008300581461642326,0.6889034739482508,54,vm_add,0.008003302848067745,0.8547260772404445,84,Max-Min (recompute)|n100 m10 mixed lam=1.0|203
h8_migration,Max-Min (recompute),n100 m10 mixed lam=1.0,mixed,100,10,204,20000,4000,0.024704694747924805,0.00800683844992842,0.00942770640009016,0.8307667720700641,1.0,81.0,0.81375,0.5,0.8307667720700641,1.0,,0.00800683844992842,0.00800683844992842,0,vm_fail,0.006514474873199115,0.7614003310280986,72,vm_add,0.006871204491207442,0.7720933199045251,76,drift,0.00958301561795355,0.8677285788932141,85,drift,0.007460393350678449,0.914174747366289,90,vm_add,0.009288509414111643,0.887369512604389,87,vm_add,0.006084802522910862,0.8411351886169269,83,vm_add,0.011703514057585235,0.8514174307253811,83,vm_add,0.017915736873074982,0.7508150674216889,72,Max-Min (recompute)|n100 m10 mixed lam=1.0|204
h8_migration,Max-Min (recompute),n100 m10 mixed lam=1.0,mixed,100,10,205,20000,4000,0.024253129959106445,0.008829975697158233,0.008935421293725095,0.8020369331925833,1.0,71.625,0.7860427405498281,0.875,0.8020369331925833,1.0,,0.008829975697158233,0.008829975697158233,0,churn,0.011998646331101788,0.8974974618708158,70,vm_fail,0.0034101998367664994,0.7977766080408732,76,vm_add,0.011077207030784762,0.6783881636711029,66,churn,0.010155349809916838,0.7803988040399782,61,churn,0.00983017527307721,0.9186773330188467,72,drift,0.009061679977093054,0.8667641079576222,85,drift,0.008621117129739288,0.8256042220048283,81,vm_fail,0.007328994961321328,0.6511887649365989,62,Max-Min (recompute)|n100 m10 mixed lam=1.0|205
h8_migration,Max-Min (recompute),n100 m10 mixed lam=1.0,mixed,100,10,206,20000,4000,0.0229952335357666,0.01014267238321743,0.006689338176017506,0.8191137398286736,1.0,71.5,0.8070312500000001,1.75,0.8191137398286736,1.0,,0.01014267238321743,0.01014267238321743,0,churn,0.011713054635698305,0.7704978456124721,60,drift,0.008567399317667663,0.9465350806830987,93,vm_fail,0.0038832092032543212,0.8404525502059662,75,churn,0.004047178705702102,0.819835511404085,65,vm_fail,0.006046663604788542,0.7081833975789636,67,churn,0.004542988444633875,0.8709613159781305,69,drift,0.008412103663534051,0.885730633850809,87,churn,0.006302107832861186,0.710713583315864,56,Max-Min (recompute)|n100 m10 mixed lam=1.0|206
h8_migration,Max-Min (recompute),n100 m10 mixed lam=1.0,mixed,100,10,207,20000,4000,0.02634406089782715,0.0055242595531705685,0.007206159747821692,0.8103401500200849,1.0,71.5,0.797361780345593,7.625,0.8103401500200849,1.0,,0.0055242595531705685,0.0055242595531705685,0,vm_fail,0.010768025808205102,0.919179795838364,71,drift,0.003427068744232958,0.8563400771768311,85,drift,0.00747147512823519,0.773149796225694,76,vm_fail,0.005374603021257581,0.820845114360722,73,vm_add,0.007988495789876638,0.7438200977164866,73,vm_fail,0.007648420084800856,0.7952356909556796,68,churn,0.009499159635550968,0.829717226839436,65,vm_fail,0.005472029770414244,0.7444334010474658,61,Max-Min (recompute)|n100 m10 mixed lam=1.0|207
h8_migration,Max-Min (recompute),n100 m10 mixed lam=1.0,mixed,100,10,208,20000,4000,0.024970293045043945,0.008716077610154405,0.007064338527851607,0.8343077242143947,1.0,79.375,0.8214687008905186,3.125,0.8343077242143947,1.0,,0.008716077610154405,0.008716077610154405,0,vm_fail,0.00402846635530635,0.9233798331384783,76,drift,0.008321311694574899,0.8653944266349637,85,vm_fail,0.0038652072759167476,0.8331451611125438,76,vm_add,0.007814300517655165,0.8644564559576622,85,vm_add,0.007167682615567894,0.6517549994895315,64,vm_add,0.008459844267909473,0.7748893259115207,76,drift,0.008590584811557856,0.8860643935976135,87,drift,0.008267310684324477,0.8753771978728434,86,Max-Min (recompute)|n100 m10 mixed lam=1.0|208
h8_migration,Max-Min (recompute),n100 m10 mixed lam=1.0,mixed,100,10,209,20000,4000,0.023576021194458008,0.010894951447045515,0.007336789199503509,0.8708168062965522,1.0,79.375,0.8571875,0.0,0.8708168062965522,1.0,,0.010894951447045515,0.010894951447045515,0,drift,0.006356819510170818,0.8919508206791209,88,drift,0.004114637029802078,0.8576120785051339,85,drift,0.008426658901125463,0.9059263853231274,89,churn,0.008333027000005334,0.87802026278751,69,churn,0.007461009374053268,0.8763961299591744,69,churn,0.0074476549596555275,0.8259988746143756,65,drift,0.008480297646958488,0.8757733536233426,86,drift,0.008074209174257095,0.8548565448806329,84,Max-Min (recompute)|n100 m10 mixed lam=1.0|209
h8_migration,Max-Min (recompute),n100 m10 mixed lam=1.0,mixed,100,10,210,20000,4000,0.025063753128051758,0.012364844734690244,0.009576462389925709,0.9302011097118508,1.0,86.625,0.911875,0.0,0.9302011097118508,1.0,,0.012364844734690244,0.012364844734690244,0,churn,0.00988857257384552,0.9061646807331333,71,vm_add,0.014323162776209798,0.9677869357858471,94,churn,0.011767995978755672,0.9603004922088392,75,drift,0.004573879496178011,0.9287818486326618,92,vm_add,0.008629375890317315,0.9567409892272156,94,drift,0.010467512274002475,0.9400976235660847,92,drift,0.009422638678008443,0.8573376551675354,84,drift,0.00753856145208844,0.924398652373489,91,Max-Min (recompute)|n100 m10 mixed lam=1.0|210
h8_migration,P-MRFO+CXM continue,n100 m10 mixed lam=1.0,mixed,100,10,201,20000,4000,6.487387657165527,0.0010369556903667748,0.12174968189718119,0.23205936116928244,1.1094280623600365,7.0,0.0748764534883721,1.75,0.2051735560032915,1.0,,0.0010369556903667748,0.010131062138985817,0,vm_add,0.09184714626668257,0.19324629399307278,9,vm_add,0.13704195218805226,0.18835779975398914,4,drift,0.1425211373366652,0.37036844544194253,16,vm_fail,0.10559310850619708,0.20987429989498912,4,churn,0.10666045293099587,0.21773958915522051,4,vm_add,0.14819723651497416,0.2192053981269254,6,churn,0.04146814688732217,0.20898805745969742,9,vm_add,0.20066827454656025,0.24869500552842272,4,P-MRFO+CXM continue|n100 m10 mixed lam=1.0|201
h8_migration,P-MRFO+CXM continue,n100 m10 mixed lam=1.0,mixed,100,10,202,20000,4000,6.071601152420044,0.0002312914692909946,0.019271140441551253,0.16082633287700504,1.0117847347806146,10.5,0.11097612927000364,4.5,0.13234193723174886,1.0,,0.0002312914692909946,0.022027663921066264,0,vm_fail,0.019756383789675883,0.17374490816581217,12,vm_fail,0.011097648255080233,0.05544592829835552,4,vm_add,0.024980313369587143,0.2714774072356428,19,vm_fail,0.018367050118215687,0.095275733285814,3,drift,0.024397758330572623,0.19594283380068156,13,drift,0.043593894703888234,0.12458041364777145,7,churn,0.0032811861825704025,0.1476335751253579,8,drift,0.008694888782819831,0.22250986345660492,18,P-MRFO+CXM continue|n100 m10 mixed lam=1.0|202
h8_migration,P-MRFO+CXM continue,n100 m10 mixed lam=1.0,mixed,100,10,203,20000,4000,6.4442877769470215,0.0007413964857677599,0.042906878886326175,0.16404508403497897,1.0345231227793228,8.5,0.09230474357301319,3.0,0.13790062698451766,1.0,,0.0007413964857677599,0.02204616568948456,0,vm_add,0.029887664412744836,0.092437452337819,6,churn,0.017469130791866305,0.1546881101461408,6,drift,0.023140220095876032,0.2739848072343144,20,vm_fail,0.00657927397701517,0.18004632234003198,10,vm_add,0.028312173138086743,0.14376991918968798,10,vm_fail,0.012386770804034079,0.0825745398610058,6,churn,0.00946076514828947,0.11971361059067966,6,vm_add,0.21601903272269674,0.26514591058015197,4,P-MRFO+CXM continue|n100 m10 mixed lam=1.0|203
h8_migration,P-MRFO+CXM continue,n100 m10 mixed lam=1.0,mixed,100,10,204,20000,4000,6.253443241119385,0.00047440590212773315,0.15518082712067618,0.30231912001787997,1.1443524826210671,11.375,0.1140691489361702,0.75,0.2847184596095987,1.0,,0.00047440590212773315,0.015164734386147072,0,vm_fail,0.026120781119027187,0.08353942668270922,4,vm_add,0.025440064460176135,0.08484178689469417,5,drift,0.01990435108024116,0.29259699054270877,23,drift,0.11904350279503423,0.33890627839877924,16,vm_add,0.2860061034612487,0.36200496788600084,5,vm_add,0.3347848079848703,0.41751048837637106,6,vm_add,0.2697888352322666,0.4149598100957018,11,vm_add,0.16035817083254528,0.4241932112660748,21,P-MRFO+CXM continue|n100 m10 mixed lam=1.0|204
h8_migration,P-MRFO+CXM continue,n100 m10 mixed lam=1.0,mixed,100,10,205,20000,4000,6.201020002365112,0.0008986011881980643,0.034438727006506645,0.1708805152367302,1.0253060221125965,9.375,0.10372236394557824,0.75,0.14153802432950485,1.0,,0.0008986011881980643,0.011624868437930671,0,churn,0.006135574889986897,0.17970743931129465,11,vm_fail,0.02417516524802075,0.07399180560494342,4,vm_add,0.00927499670467628,0.11880339531232205,9,churn,0.027728945456440095,0.25678695434575155,12,churn,0.018859736738561825,0.17243887830200486,8,drift,0.01938947378066037,0.19603364972618534,15,drift,0.1023628557185788,0.2675410258303541,13,vm_fail,0.06758306751512817,0.1017409734609856,3,P-MRFO+CXM continue|n100 m10 mixed lam=1.0|205
h8_migration,P-MRFO+CXM continue,n100 m10 mixed lam=1.0,mixed,100,10,206,20000,4000,6.170234441757202,0.00014053667646943851,0.018366097193262553,0.14668594394695392,1.0115873801206017,9.25,0.10177026098901099,1.625,0.12220381552374422,1.0,,0.00014053667646943851,0.011221453769383358,0,churn,0.031430456350828646,0.12454700635151016,6,drift,0.027964822250838406,0.27136763305198386,19,vm_fail,0.02198027317799618,0.1228793589048065,8,churn,0.008870594500214598,0.07119212355799365,4,vm_fail,0.017875071071682184,0.05152248922609503,3,churn,0.0027530304363464686,0.14310249778259168,8,drift,0.025673060679793632,0.22982334676750665,18,churn,0.010381469078400306,0.15905309593314376,8,P-MRFO+CXM continue|n100 m10 mixed lam=1.0|206
h8_migration,P-MRFO+CXM continue,n100 m10 mixed lam=1.0,mixed,100,10,207,20000,4000,6.198975324630737,0.00046960750966386876,0.018003749273271835,0.13040128228399078,1.010735586177496,8.375,0.09214715423380576,7.125,0.11183764010081243,1.0,,0.00046960750966386876,0.021682592767638825,0,vm_fail,0.013298411114847353,0.200443334870765,13,drift,0.03362749496613493,0.21334090825418853,15,drift,0.02773951993315439,0.09654018715270127,5,vm_fail,0.01866318643153982,0.04797169563071574,2,vm_add,0.012539848215800252,0.1733348297167971,13,vm_fail,0.01847823032894061,0.11170899084891234,7,churn,0.009665284500708731,0.1276352266256092,8,vm_fail,0.010018018695048612,0.072235085172237,4,P-MRFO+CXM continue|n100 m10 mixed lam=1.0|207
