exp,algo,scenario,change,n,m0,seed,budget0,budget,runtime_s,epoch0_gap,post_gap,post_auc,post_ratio_mm,migrations,migr_frac,forced,post_cost_gap,mig_lambda,e0_type,e0_gap,e0_auc,e0_mig,e1_type,e1_gap,e1_auc,e1_mig,e2_type,e2_gap,e2_auc,e2_mig,e3_type,e3_gap,e3_auc,e3_mig,e4_type,e4_gap,e4_auc,e4_mig,e5_type,e5_gap,e5_auc,e5_mig,e6_type,e6_gap,e6_auc,e6_mig,e7_type,e7_gap,e7_auc,e7_mig,e8_type,e8_gap,e8_auc,e8_mig,key
h12_incremental_elite,QI-MRFO+CXM continue+event-aware incremental elite,n100 m10 mixed lam=0.2,mixed,100,10,504,20000,4000,11.913580417633057,0.00047741762572902746,0.019310930982529284,0.06729955785046035,1.010633177286921,16.5,0.1659306318681319,1.125,0.05300135798124106,0.2,,0.00047741762572902746,0.009552112254070431,0,vm_add,0.06987441216371591,0.0892132026744934,9,vm_fail,0.011392579929932449,0.023289904999813937,5,drift,0.01393742230835635,0.15784778581182157,44,vm_add,0.008447353485129597,0.11102967630503396,39,vm_add,0.010754571228997825,0.10732839111450858,34,churn,0.009731817679726057,0.009756305227097,0,churn,0.013909926858332266,0.01910187208960789,1,churn,0.0164393642060438,0.02082932458130647,0,QI-MRFO+CXM continue+event-aware incremental elite|n100 m10 mixed lam=0.2|504
h12_incremental_elite,QI-MRFO+CXM continue+event-aware incremental elite,n100 m10 mixed lam=0.2,mixed,100,10,505,20000,4000,11.132506847381592,0.00028139770124320566,0.004888886882878234,0.030314026621049612,0.9993116291454283,10.0,0.10214277307609526,7.625,0.025402377846891904,0.2,,0.00028139770124320566,0.0074353865835983055,0,vm_fail,0.0071041642314438,0.018704116671201552,5,drift,0.004955182398917326,0.05859980721435399,23,vm_fail,0.002724723658714563,0.010745373518292635,3,vm_fail,0.0035206470024244955,0.008863604555014004,2,vm_add,0.0037532549800680833,0.07196557919640559,26,vm_fail,0.008188790000252454,0.010694003556775734,1,vm_fail,0.006123488411251143,0.013611251199135182,2,vm_add,0.0027408443799540098,0.0493284770572182,18,QI-MRFO+CXM continue+event-aware incremental elite|n100 m10 mixed lam=0.2|505
h12_incremental_elite,QI-MRFO+CXM continue+event-aware incremental elite,n100 m10 mixed lam=0.2,mixed,100,10,506,20000,4000,11.455260992050171,0.0005002315437264361,0.017303399088780064,0.07081668323354202,1.0078484133499708,20.5,0.205625,0.0,0.059231713617726466,0.2,,0.0005002315437264361,0.011724002602974072,0,drift,0.01836226860814631,0.11896433325539899,38,churn,0.012133024985929787,0.013127056443974775,0,vm_add,0.025514360112835893,0.0829470404332347,24,drift,0.019545642083322864,0.13200784989746445,42,drift,0.019720698117458038,0.11515267231712809,39,vm_add,0.01426866586402083,0.06845055193600881,19,churn,0.016807368188478854,0.021896755086993975,2,churn,0.01207516475004794,0.013987206498132409,0,QI-MRFO+CXM continue+event-aware incremental elite|n100 m10 mixed lam=0.2|506
h12_incremental_elite,QI-MRFO+CXM continue+event-aware incremental elite,n100 m10 mixed lam=0.2,mixed,100,10,507,20000,4000,11.290472745895386,0.0007170367227426366,0.005312084268112525,0.017613654545938565,0.9995664168833827,4.75,0.05095394736842105,8.5,0.015562300751666529,0.2,,0.0007170367227426366,0.01792997881104432,0,vm_fail,0.015451690148844198,0.026824346203229547,5,vm_fail,0.005957834936838502,0.026762066191452192,7,vm_fail,0.004090936667202464,0.005252242369030786,0,churn,0.00452468642102078,0.010126349183430809,2,churn,0.0029183407068256555,0.0029183407068256546,0,churn,0.002250592480539184,0.004607093581557007,0,drift,0.00392841895876096,0.05560574225709248,22,vm_fail,0.0033741738248684616,0.008813055874890039,2,QI-MRFO+CXM continue+event-aware incremental elite|n100 m10 mixed lam=0.2|507
h12_incremental_elite,QI-MRFO+CXM continue+event-aware incremental elite,n100 m10 mixed lam=0.2,mixed,100,10,508,20000,4000,11.502201318740845,0.0008158258306214049,0.012373903708185908,0.07321755927580029,1.0045053998452729,19.875,0.2003125,0.0,0.05289802937791596,0.2,,0.0008158258306214049,0.009655888547898006,0,drift,0.009315906655971347,0.06932982636511914,24,churn,0.01144598294977607,0.011445982949776072,0,vm_add,0.01571190185749112,0.16173216828543852,39,drift,0.009770415770092569,0.18246693691314253,52,vm_add,0.01850473894007959,0.050926070005619925,13,drift,0.007984807997899232,0.07073002737777216,26,churn,0.008628562003746306,0.02148054881910293,5,churn,0.017628913490431032,0.01762891349043103,0,QI-MRFO+CXM continue+event-aware incremental elite|n100 m10 mixed lam=0.2|508
h12_incremental_elite,QI-MRFO+CXM continue+event-aware incremental elite,n100 m10 mixed lam=0.2,mixed,100,10,509,20000,4000,11.662043571472168,0.0006608702130485645,0.009812973600477025,0.051658743857709265,0.9999574291537687,16.625,0.16805431131019036,1.375,0.04364219574557639,0.2,,0.0006608702130485645,0.00920016872667428,0,churn,0.01007993978642798,0.022434887521155827,4,vm_add,0.007659906578477447,0.06743448866092148,24,vm_fail,0.0168533868853671,0.021266927253922957,2,drift,0.004359402183441989,0.10802771301890347,36,vm_add,0.006332021278748003,0.06098987344552129,25,drift,0.006487383360942043,0.09010714209968955,36,churn,0.01809324136384164,0.019977091485510787,0,vm_fail,0.008638507366569988,0.023031827376048752,6,QI-MRFO+CXM continue+event-aware incremental elite|n100 m10 mixed lam=0.2|509
h12_incremental_elite,QI-MRFO+CXM continue+event-aware incremental elite,n100 m10 mixed lam=0.2,mixed,100,10,510,20000,4000,11.951314210891724,0.0002774040600521857,0.025758018754461535,0.0558408707286545,1.0197848616999392,11.25,0.11421699438202249,2.25,0.0490669982600485,0.2,,0.0002774040600521857,0.01093729673203461,0,vm_add,0.11523228998987936,0.13364927759728965,8,drift,0.012375686918032003,0.12998797552966002,42,vm_fail,0.019257890871726854,0.022668225287849765,1,churn,0.012596509690666923,0.022848822323159605,3,churn,0.015575167704840435,0.018461289415669598,1,churn,0.009906346828735929,0.012931239166777528,1,vm_fail,0.011709715028419715,0.011709715028419715,0,vm_add,0.00941054300339106,0.09447042148041014,34,QI-MRFO+CXM continue+event-aware incremental elite|n100 m10 mixed lam=0.2|510
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 mixed lam=1.0,mixed,100,10,501,20000,4000,2.709421396255493,0.000690246511208529,0.061111898419709286,0.08288243078258557,1.0490217334151617,1.75,0.018125,0.875,0.08031514835408565,1.0,,0.000690246511208529,0.011093842951776593,0,vm_add,0.028512373947876854,0.02851237394787685,0,vm_add,0.0792179849543122,0.0792179849543122,0,churn,0.06030224702533427,0.06030224702533426,0,drift,0.0694082799191906,0.2091641206648167,12,churn,0.011880235388315251,0.04462644990116578,2,vm_fail,0.041530116347219564,0.04153011634721956,0,churn,0.024728635488542733,0.0263908391330764,0,vm_add,0.17331531428688285,0.17331531428688282,0,"(1+1)-EA+CXM continue, incremental repair|n100 m10 mixed lam=1.0|501"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 mixed lam=1.0,mixed,100,10,502,20000,4000,2.7274398803710938,0.00024229386001431736,0.02175312166665477,0.10607875320307453,1.0145684310411875,7.25,0.07315340909090909,1.5,0.0953334008331404,1.0,,0.00024229386001431736,0.009535925217548943,0,churn,0.00968040118503348,0.009680401185033478,0,drift,0.006674885061847437,0.30736502163001417,27,churn,0.011174994461125314,0.011519933534994071,0,churn,0.007707854971497289,0.021478380125595633,1,vm_fail,0.012042715588392568,0.03638515202325948,2,vm_add,0.1102632087297522,0.1102632087297522,0,vm_fail,0.012042715588392568,0.01204271558839257,0,drift,0.0044381977471973,0.3398952128075546,28,"(1+1)-EA+CXM continue, incremental repair|n100 m10 mixed lam=1.0|502"
h12_incremental_elite,"(1+1)-EA+CXM continue, incremental repair",n100 m10 mixed lam=1.0,mixed,100,10,503,20000,4000,3.0022242069244385,0.0004525345657725931,0.11630553848393864,0.12619562290928393,1.1072699468183456,0.75,0.009375,2.125,0.12601894680560405,1.0,,0.0004525345657725931,0.018057910760201103,0,churn,0.009987469787769975,0.009987469787769975,0,vm_add,0.20060483977773044,0.20060483977773044,0,vm_fail,0.1557119437057885,0.1557119437057885,0,vm_add,0.2541588702337551,0.2541588702337551,0,churn,0.04023016282914126,0.10645873296632623,5,vm_add,0.19753304924799375,0.1975330492479938,0,churn,0.015430511720167456,0.028322616985744682,1,vm_fail,0.056787460569162534,0.05678746056916253,0,"(1+1)-EA+CXM continue, incremental repair|n100 m10 mixed lam=1.0|503"
